ISOLATE	Address	GENT	predicted_phenotype
0152K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0152K.fasta	0	0
0152L	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0152L.fasta	0	1
0152M	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0152M.fasta	0	0
0165K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0165K.fasta	0	0
0166C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0166C.fasta	0	0
0172A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0172A.fasta	0	0
0188I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0188I.fasta	0	0
0190B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0190B.fasta	0	0
0190C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0190C.fasta	0	0
0191C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0191C.fasta	0	0
0192A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0192A.fasta	0	0
0192B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0192B.fasta	0	0
0194A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0194A.fasta	0	0
0203C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0203C.fasta	0	0
0206C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0206C.fasta	0	0
0211C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0211C.fasta	0	0
0211K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0211K.fasta	0	0
0213A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0213A.fasta	0	0
0213C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0213C.fasta	0	0
0213I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0213I.fasta	0	0
0214B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0214B.fasta	0	0
0216B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0216B.fasta	0	0
0216K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0216K.fasta	0	0
0217B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0217B.fasta	0	0
0217I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0217I.fasta	0	0
0217J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0217J.fasta	0	0
0221I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0221I.fasta	0	0
0241J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0241J.fasta	0	0
0243K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0243K.fasta	0	0
0251A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0251A.fasta	0	0
0251I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0251I.fasta	0	0
0251J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0251J.fasta	0	0
0251K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0251K.fasta	0	0
0278B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0278B.fasta	0	0
0280B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0280B.fasta	0	0
0286C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0286C.fasta	0	0
0493A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0493A.fasta	0	0
0497C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0497C.fasta	0	0
0497J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0497J.fasta	0	0
0512A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0512A.fasta	0	0
0539J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0539J.fasta	0	0
0554I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0554I.fasta	0	0
